ID,DIVISION,SUBJECT,WRITER,VIEWS
2246844,NS소프트,"세가 코리아, 나쁜 왕과 훌륭한 용사 한국어판 정식 발매 (13)",nokcha,17
2246851,NS소프트,스페이드나라의 앨리스 ～Wonderful White World～오프닝무비... (5),아즈꺄,5
2246853,PS4소프트,칼리굴라 2 한국어판 특전 공개 (20),nokcha,8
2246852,NS소프트,모나크 한국어판 특전 공개 (7),nokcha,7
2246847,PS5소프트,엘든링 신규 아트워크 공개 (47),루리앱004,38
2246850,XSX소프트,빈남코)스칼렛 스트링스 30초 CM 영상 (7),틸로볼프,1
2246848,PS5소프트,에이리언: 파이어팀 엘리트 한국어판 발매 결정 및 트레일러 공개 (47),nokcha,19
2246845,PS4소프트,「나쁜 왕과 휼륭한 용사 」 티저 영상 (12),둠 닥터,4
2246843,NS소프트,영웅전설 섬의 궤적 1 한국어버전 스위치판 패키지 이미지 및 스크린샷 (12),nokcha,5
2246846,NS소프트,버디 미션 BOND 홍콩e숍에서 한국어 체험판 배포 및 한국어판 스샷 (23),nokcha,15
2237470,PS5하드,,Ruliweb100,47
2246834,XBO소프트,IGN)에이팩스 레전드 - 공식 더 트루스 시네마틱 영상,틸로볼프,
2246842,인터뷰,"가오갤, '싱글플레이 지향, 유명 팝송 30곡 포함' (42)",선인장국,21
2246831,NS소프트,소닉 컬러즈 얼티밋 스테이지 소개 및 한정판 이미지 공개 (19),nokcha,10
2246841,PS4소프트,영웅전설 여의 궤적 스크린샷 (58),키쿠치요,23
2246837,사설,복잡한 FINAL FANTASY VII REMAKE 시간대 순서 (57),unknown 4444,14
2246833,제작사,소닉 더 헤지혹 30주년 기념 공식 심포니 오케스트라 공개 (13),토미오카,17
,,,,
2246836,기타,[수퍼 소닉 시리즈] 제프 파울러 감독의 소닉 30주년 기념 메시지 (5),클틴이,6
2246838,PS5소프트,"코나미, 신규 축구 게임 오픈베타 테스트 실시 (38)",물곰탱,15
2246835,XSX소프트,"Xbox 클라우드 스트리밍, PC사용자 용 꿀팁 (54)",카일로123,155
2246832,인터뷰,FINAL FANTASY VII REMAKE INTERGRADE 꿀벌의 ... (59),unknown 4444,15
2246839,PS4소프트,지구방위군 6 신규 스크린샷 및 정보 (50),nokcha,17
2246830,PS4소프트,"신 멋진 이 세계 파이널 트레일러, 체험판, 바탕화면 등 (4)",키쿠치요,4
2246840,PS5하드,"Thrustmaster, PS5 공식 라이센스를 받은 ""T-GT II"" ... (30)",물곰탱,7
2246825,NS소프트,'목장이야기 올리브 타운과 희망의 대지'(한국 정발) Ver.1.0.5 ...,최가뫼,9
2246824,PS4소프트,섬란 닌닌닌자 대전 넵튠 스크린샷 (15),키쿠치요,6
2246826,PS5소프트,"반남코, 스칼렛 스트링스 암호 퀘스트 실시 및 TV 애니메이션 국내 방영... (9)",nokcha,10
2246827,NS소프트,웜즈 럼블 스위치 버전 출시 및 트레일러 (7),또나와,2
2246957,XBO소프트,"SKT, XBOX 게임 패스 앱 알림 메세지에 대한 공지 (32)",nokcha,29
2246828,NS소프트,"신 멋진 이 세계 체험판, 파이널 트레일러, 바탕화면 등 (8)",키쿠치요,
2246940,NS소프트,"몬스터헌터 스토리즈 2 한국어판 패키지, 정가 및 제품판 스크린샷 (23)",nokcha,13
2246958,제작사,'PS5 멀티플레이 게임'을 개발중인 플스 스튜디오들 (66),루리웹-4501333961,14
2246956,NS소프트,슈퍼 스매시 브라더스 얼티밋 미시마 카즈야 사용방법 영상은 약 40분 (23),nokcha,11
2246959,NS소프트,진 여신전생 5 한국어 공식 악마 소개 영상 Vol.009 (쿠반다) (21),nokcha,10
2246955,NS소프트,신 하야리가미 3 프로모션 영상 2탄 (15),키쿠치요,11
2246965,PS5소프트,파이널판타지 VII 리메이크 인터그레이드 미드가르 컨셉아트 (27),둠 닥터,26
2246954,PS4소프트,영웅전설 여의 궤적 이미지 (25),키쿠치요,22
2246960,NS소프트,데몬 게이즈 엑스트라 리뉴얼 오프닝 영상 (3),키쿠치요,4
2246953,NS소프트,몬스터 헌터 스토리즈 2 성우 공개 (23),Winter Love,14
2246962,XSX소프트,게이밍볼트)스칼렛 넥서스 Xbox Series X VS PS5 영상 (15),틸로볼프,5
2246952,NS소프트,멜티 블러드: 타입 루미나 外 닌텐도 스위치 국내 심의 통과 타이틀 (12),nokcha,8
2246945,PS4소프트,북미판 팔콤 궤적 시리즈 발매 일정 (17),roness,4
2246963,PS5소프트,호라이즌 포비던 웨스트 포커스 사용하기 | 클로스트라이더 (8),둠 닥터,8
2246944,NS소프트,종원의 뷔르슈-ErroR:salvation- 프로모션무비 공개 외 (2),아즈꺄,2
2246946,정보,[포켓몬]순회 전시회 「포켓몬 화석박물관」개최 예정. 오리지널 굿즈 공개... (20),Oh! RoChi!,9
2246941,PS4소프트,신옥탑 메리스켈터 Finale 한국어판 7월 22일 발매 및 오프닝 영상 (31),nokcha,10
2246942,NS소프트,이스 IX 캐릭터 소개 영상 (24),키쿠치요,5
2246949,XBO소프트,ID@XBOX)워페이스 - 카르텔 영상 (1),틸로볼프,3
2246950,NS소프트,몬스터 헌터 스토리즈 2 발매 직전 스페셜 프로그램 방송 예정 (12),nokcha,10
2237470,PS5하드,,Ruliweb100,47
2246967,XSX소프트,"헤일로 인피니트. ""열심히 버그 수정중"" (38)",중고플스,30
2246951,PS4소프트,멜티 블러드: 타입 루미나 外 PS4 국내 심의 통과 타이틀 (7),nokcha,3
2246943,NS소프트,신옥탑 메리스켈터 Finale 한국어판 스크린샷 및 한정판 발매 & 특전... (24),nokcha,6
,,,,
2246961,PS5소프트,귀멸의 칼날 히노카미 혈풍담 특집 생방송 (22),둠 닥터,5
2246947,PS5소프트,길티기어 스트라이브 한국어 더빙 업데이트 6월 30일 배포 및 이벤트 실... (33),nokcha,27
2246966,XSX소프트,보더랜드3 크로스플레이 업데이트 (27),Hybrid8,15
2246948,XBO소프트,다크 얼라이언스 업데이트 작업중 (19),중고플스,9
2246964,PS5소프트,귀멸의 칼날 히노카미 혈풍담 한국어판 PV 2탄 및 한정판 정식 발매 (21),nokcha,5
2246968,XSX소프트,반다이남코)스칼렛 넥서스(스트링스) 론치 영상 (1),틸로볼프,1
2246995,사설,"윈도우 11, Xbox 게임패스로 최적의 게이밍 환경 제공한다 (41)",루리웹-4501333961,32
2246984,XSX소프트,엑스박스 공식)This Week on Xbox 영상 (1),틸로볼프,2
2237470,PS5하드,,Ruliweb100,47
2246982,PS4소프트,시푸 - 신규 게임플레이 클립 공개 (34),토미오카,18
2246999,PS5소프트,아스트로 플레이룸 컨셉아트 (21),실명†확인,16
2246988,정보,EA스포츠 신작 매든NFL22 스캔 장비 (3),베르세리아2,2
2246980,PS5소프트,테일즈 오브 어라이즈 시온 캐릭터 소개 영상 (28),nokcha,20
2246996,루머,게임랜트)소문에 따르면 Xbox와 코지마 새로운 게임 계약 채결 (54),틸로볼프,35
2246990,인터뷰,스칼렛 스트링스 크리에이터 인터뷰 - 브레인 펑크의 세계 (9),순정소닉,3
2246975,정보,"가오갤, 멀티플레이는 1년간 개발됐다가 취소됨 (20)",선인장국,5
2246987,정보,"다시 불어오는 야생의 숨결, 6월 4주차 한우리 판매 순위 (68)",Tentacle,34
2246972,PS5소프트,Abandoned 데모 공개 8월로 연기 (59),익어,20
